Item #,Latitude,Longitude,Zip_Code,State Abbrv. ,State,Year,TimeStamp,Event (short name),Event Description,Event Class,Gender of Victim(s),Source,Permanent URL
205,43.617778,-116.19956,83702,ID,Idaho,2016,2016-03-10T00:00:00,Legislative Discrimination,"The Idaho State Affairs Committee approved, with recomended changes, the American and Idaho Laws for Idaho Courts for a House vote. The bill seeks to ban the application of so-called foreign laws, aping similar legislation across the country that implicitly targets Islamic law.",legislation (targeting community),male and female,http://www.idahostatesman.com/news/politics-government/politics-columns-blogs/politics-blog/article66591667.html,
206,43.617774,-116.199346,83702,ID,Idaho,2015,2015-04-30T00:00:00,Legislative Discrimination,"Idaho state lawmakers introduce questions about Islamic law when debating legislation to manage and fund child support enforcement efforts, suggesting that the potential for shari'a provisions regarding custody and support to be part of court proceedings in the United States could erode American sovereignty.",public speech (political figures),male and female,http://boisestatepublicradio.org/post/how-legislatures-sharia-law-debate-impacts-idahos-muslim-community#stream/0,
207,26.887225,-80.087349,33477,FL,Florida,2016,2016-03-09T00:00:00,National Political Speech,"In an interview with CNN's Anderson Cooper, Donald Trump, a candidate for the Republican nomination for President, says he thinks that Islam hates us. He is unable to explain whether he is talking about the religion or its adherents.æHe also calls for the United States to use enhanced interrogation techniques in terrorism-related investigations.",public speech (political figures),male and female,https://www.washingtonpost.com/news/post-politics/wp/2016/03/09/trump-i-think-islam-hates-us/?utm_term=.69de295c92cf,
208,41.978671,-71.333445,2760,MA,Massachusetts,2016,2016-03-08T00:00:00,Political Speech,"A controversy unfolds after a member of town government inæNorth Attleboro, Massachusetts posts publicly visible stories and comments disparaging African Americans and Muslims.æThe posts elicit community questions about the private speech of elected officials.",public speech (political figures),male and female,http://www.thesunchronicle.com/news/local_news/north-attleboro-rtm-member-s-racially-charged-posts-stir-little/article_62521c35-2e53-5143-b732-7556b4c5fac5.html,
209,45.713731,-121.53368,97031,WA,Washington,2016,2016-02-29T00:00:00,Violent Incident,"An unidentified assailant attacks Kozen Sampson, a Buddhist monk, mistaking him for Muslim. Sampson said he was saddened by the attack, bemoaning that Muslims have to live every day knowing that such anger toward them exists.",bias-related incident (targeting individual or specific group),male,http://www.nydailynews.com/news/crime/buddhist-monk-assaulted-called-f-ing-muslim-oregon-article-1.2559207,
210,35.336414,-80.800753,28269,NC,North Carolina,2016,2016-11-16T00:00:00,Violent Incident,"A kindergarten teacher allegedly engages in a campaign of harassment against a 5-year-old boy, singling out the student for ridicule, forcing him to carry a heavy backpack throughout the day, all culiminating in a choking incident on November 16.",bias-related incident (targeting individual or specific group),male,http://www.charlotteobserver.com/news/local/article116717503.html,
211,40.92496,-73.836365,10552,NY,New York,2016,2016-09-30T00:00:00,Hate Speech,Vincent Casella is arrested and charged withæcriminal mischief as a hate crime and unlawfully making graffiti after writing an anti-Islam message on a light pole. ,crimes against property,male and female,http://www.lohud.com/story/news/crime/2016/10/06/anti-islam-graffiti/91656588/,
212,35.367951,-119.044933,93309,CA,California,2016,2016-09-30T00:00:00,Harassment,"David Hook approaches Balmeet Singh, who is Sikh, outside a restaurant and throws liquid in his face, saying that he was retaliating for blowing up the country.æThe local distrinct attorney charges Hook with battery and a hate crime.",crimes against people,male,http://www.latimes.com/local/lanow/la-me-ln-hate-crime-sikh-bakersfield-20161024-snap-story.html,
213,38.907098,-77.043471,20036,DC,District of Columbia,2016,2016-09-30T00:00:00,Violent Incident,"An unidentified assailant attacks Rashid Dar, a researcher at the Brookings Institute, as he made his way to Friday prayer. He was wearing clothing often associated with Imams, prompting him to believe the incident was motivated by bias. He also reported that his wife, who wears a headscarf, is subject to much more harassment than he.",bias-related incident (targeting individual or specific group),male,http://dcist.com/2016/09/man_wearing_traditional_muslim_atti.php,
214,34.570224,-86.972548,35601,AL,Alabama,2016,2016-09-26T00:00:00,Political Speech,"Alabama state representative Ed Henry makes a blanket anti-Muslim statement while commenting on a presidential debate, Tweeting that Muslims, abroad and in the United States, want to kill non-Muslims.æHenry served as the Alabama co-chair of Donald Trump's campaign for President of the United States.",public speech (political figures),male and female,http://www.decaturdaily.com/news/local/during-debate-rep-henry-tweets-about-muslims-calls-bill-clinton/article_7072e423-8366-5df5-871a-3c2ead20416a.html,
215,35.080373,-92.455616,0,AR,Arkansas,2016,2016-09-19T00:00:00,Political Speech,"Arkansas state representative Jason Rapert posts anti-Muslim statements on social media, saying that the United States needs to round up Muslim anti-Americans and advocatesæa ban on Muslim immigration.",public speech (political figures),male and female,http://www.arktimes.com/ArkansasBlog/archives/2016/09/19/jason-rapert-goes-off-again-on-muslims-erupts-again-over-facebook-edit,
216,36.167922,-86.787229,37219,TN,Tennessee,2016,2016-09-15T00:00:00,Education Discrimination,"The Tennessee Board of Education releases new middle school social studies standards for public review. They omit basic information about Islam, including the physical location of Saudi Arabia, the origins of Islam (including connections to Judaism and Islam), information about the Qur'an, information about the different communities with Islam, and historical trade routes relating to the spread of Islam. The change in standards appear to reflect public complaints about indoctrination.",public campaigns (targeting community),male and female,http://www.timesnews.net/Education/2016/09/25/Islam-removed-from-draft-Tenn-7th-grade-social-studies-standards.html?ci=featured&lp=4&ti,
217,37.434658,-122.161274,94305,CA,California,2016,2016-09-06T00:00:00,Hate Speech,"An ad for football tickets on Stanford University's Facebook page featuring Tesay Yusuf, a Somali American who wears a headscarf, elicits so many hateful responses that the university removes those comments making direct threats and other hateful speech from the post.",bias-related incident (targeting individual or specific group),female,http://www.mercurynews.com/2016/09/12/stanford-football-fan-calls-out-hateful-remarks-about-hijab/,
218,43.062664,-76.140651,13203,NY,New York,2016,2016-08-11T00:00:00,National Political Speech,"Wendy Long, Republican candidate for the United States Senate from New York, Tweets a series of anti-Muslim and anti-Islam Tweets during a visit to a Syracuse, New York, neighborhood in which a former church has become a mosque.",public speech (political figures),male and female,http://www.syracuse.com/politics/index.ssf/2016/08/gop_senate_candidate_wendy_long_links_rising_crime_with_syracuse_mosque.html,
219,29.595812,-95.621867,77479,TX,Texas,2016,2016-12-31T00:00:00,Harassment,"A man calls Shifa Abuzaid and her family a bunch of terrorists during a vist to Sugar Land Town Square, a mall outside Houston.",bias-related incident (targeting individual or specific group),female,http://www.chron.com/neighborhood/fortbend/news/article/Sugar-Land-woman-in-hijab-says-man-called-her-10832762.php,
220,42.920229,-78.88793,14213,NY,New York,2016,2016-02-29T00:00:00,Harassment,"Two men throw eggs and yell at two girls wearing headscarves in Buffalo, New York, as they got off a school bus.æAt the time of newsreports the girls had declined to file a police report, though witnesses did record the license plate number of the assailants car.",bias-related incident (targeting individual or specific group),female,http://buffalonews.com/2016/03/01/two-muslim-girls-urged-to-file-complaint-about-egg-throwing-incident/,
221,40.651797,-89.535098,61611,IL,Illinois,2016,2016-02-28T00:00:00,Violent Threat,"Dennis Murdy, of East Peoria, Illinois, displays handmade, life-sized silhouettes of a hunter with a rifle pointing at a kneeling figure wearing a turban. In an interview, Murdy acknowledges that the figure wearing the turban is supposed to depict a Muslim man.",bias-related incident (targeting individual or specific group),male and female,http://www.pjstar.com/news/20160227/luciano-east-peoria-mans-yard-signs-displaying-feelings-on-muslims-create-stir,
222,33.658326,-117.999676,92648,CA,California,2016,2016-02-28T00:00:00,Assault,"Three people, including Arthur Roman, a police officer in Oak Forest, Illinois, attack Karam Jarrah, stabbing him twice, after verbally harassing him and a friend with anti-Muslim taunts. Police arrest Roman and two other suspects, charging them with assault with a deadly weapon and battery.",crimes against people,male,http://www.nydailynews.com/news/national/ill-accused-stabbing-calif-teen-vacation-article-1.2549694,
223,36.164986,-86.783441,37219,TN,Tennessee,2016,2016-02-29T00:00:00,Legislative Discrimination,The Tennessee House of Representatives approves a bill banning proselytizing in public schools. The bill comes in response to a contoversy around teaching basic information about Islam and the history of Muslim communities in Middle School social studies.,legislation (targeting community),male and female,http://nashvillepublicradio.org/post/after-indoctrination-fears-tennessee-lawmakers-vote-ban-classroom-proselytizing#stream/0,
224,39.66237,-86.386399,46168,IN,Indiana,2016,2016-02-28T00:00:00,Vandalism,"Three men spray-paint the front wall of the Islamic Society of North America in Plainfield, Indiana, writing racist, anti-Islamic, and anti-Muslim messages.",crimes against property,male and female,http://www.indystar.com/story/news/crime/2016/02/28/islamic-society-north-america-plainfield-vandalized-racial-epithets/81080586/,
225,41.2633,-96.035421,68114,NE,Nebraska,2016,2016-02-16T00:00:00,Harassment,"Employees at Security National Bank refuse to serve a Muslim woman unless she removes her headscarf. A bank spokesperson maintains that the business asks all customers to remove face, eye, or head coverings of any kind for security purposes.",bias-related incident (targeting individual or specific group),female,http://www.omaha.com/news/metro/woman-asked-to-remove-head-covering-before-entering-bank-says/article_7fdea5a6-d5ca-11e5-8fbb-77b0fb38ad5f.html,
226,39.112547,-76.458406,21122,MD,Maryland,2016,2016-02-14T00:00:00,Public Campaign,"Contacted by a parent in the district, anti-Islam activist PamelaæGeller publishes an article online alleging that the Chesapeake Bay Middle School did nothing when a student from Saudi Arabia made terroristic threats. The school district investigated and sent a message to parents stating that no such student exists and that the rumor began when a student repeated an Islamophobicælimerick they found online. Geller refused to retract the story.",public campaigns (targeting community),male and female,http://www.capitalgazette.com/news/schools/ph-ac-cn-bomb-blog-0217-20160216-story.html,
227,30.438037,-84.281327,32301,FL,Florida,2016,2016-02-16T00:00:00,Legislative Discrimination,"The Florida HouseæJustice Appropriations subcommittee approves a bill giving the Governor authority toæuse all force necessary to prevent a restricted person from enteringæor resettling in the state. The bill, meant to prevent refugee resettlement for people coming from the Middle East, defines a restricted person as someone from or from near a place in which terrorist networks are thought to operate.",legislation (targeting community),male and female,http://www.orlandosentinel.com/news/politics/political-pulse/os-house-panel-approves-military-force-invaders-bill-story.html,
228,47.708289,-122.312765,98125,WA,Washington,2016,2016-02-04T00:00:00,Harassment,"A man with a bat confronts two men exiting the Idriss Mosque inæSeattle. Police find the suspect in a nearby park with a gun, arresting him foræproperty damage, assault, andæmalicious harassment as a hate crime.",crimes against people,male,http://www.seattletimes.com/seattle-news/crime/armed-man-arrested-outside-northgate-mosque/,
229,42.045413,-71.895352,1571,MA,Massachusetts,2016,2016-02-05T00:00:00,Anti-Cemetery Campaign,"At a public planning meeting, residents of Dudley, Massachusetts, voice opposition to a local Muslim community building a cemeteryæoutside of town. Some oppose the project in the name of public health, a common refrain across the country, while others voice opposition in explicitly Islamophobic terms.",public campaigns (targeting community),male and female,http://www.wbur.org/all-things-considered/2016/02/05/muslim-cemetery-proposal,
230,41.667013,-87.816725,60464,IL,Illinois,2016,2016-02-05T00:00:00,Anti-Mosque Campaign,Anonymous flyers begin appearing inæmailboxes across Palos Park and Palos Heights after plans of the Muslim American Society to convert an old church into a mosque become public. The flyers warn residents about dropping property values and the potential influx of large Muslim families with women wearingæburkas.,public campaigns (targeting community),male and female,http://www.chicagotribune.com/suburbs/daily-southtown/news/ct-sta-palos-park-mosque-st-0208-20160205-story.html,
231,38.980271,-76.49217,21401,MD,Maryland,2016,2016-02-02T00:00:00,National Political Speech,"Campaigning for the Republican nomination for a Congressional seat, Maryland State DelegateæDavid Vogt announces that he intends to introduce a bill curbing the tax-exempt status of mosques deemed to haveæties with terrorist organizations. He does not spell out a process by which this determination would be made. ",public speech (political figures),male and female,http://www.baltimoresun.com/news/maryland/politics/blog/bal-delegate-proposes-tax-exemption-curb-on-some-mosques-decries-obama-visit-20160202-story.html,
232,46.873262,-113.995932,59802,MT,Montana,2016,2016-02-01T00:00:00,Public Campaign,"A group protestsæthe possibility of Syrian refugees being resettled in Missoula, Montana, after a local organization, Soft Landing Missoula, begins to work with the International Rescue Committee to put forward the city as a potential resettlement site.æSome protesters cite bible versus to oppose resettlement, some cite the strain on local resources, while others draw on sterotypes of refugees as hateful criminals.",public campaigns (targeting community),male and female,http://www.missoulacurrent.com/government/2016/02/fearful-of-refugees-protesters-rally-against-missoula-resettlement-office/,
233,40.188119,-105.117702,80501,CO,Colorado,2017,2017-01-04T00:00:00,Harassment,"Harry McNevin, a resident of Longmont, Colorado, displays a homemade sign bearing an anti-Islamic message in his front yard. He declines a request from town officials to remove the sign after complaints from other residents.æ",bias-related incident (targeting individual or specific group),male and female,http://www.dailycamera.com/ci_30703810/longmont-resident-wont-remove-anti-muslim-sign-from,
234,38.903512,-77.02726,20002,DC,District of Columbia,2016,2016-11-18T00:00:00,Political Appointment,"President-elect Donald Trump nominates Senator Jeff Sessions to serve as Attorney General. Sessions, a longtime Senator from Alabama and former federal prosecutor, was an early proponent of Trump's proposed ban on non-citizen Muslims entering the United States. In 2014, he excoriated the National Endowment for Humanities funding a project called Bridging Cultures, which provided funding to pubic libraries for books about Islam and the history of Muslim communities, suggesting the initiative was part of a nefarious plot.",public speech (political figures),male and female,http://www.nytimes.com/2016/11/19/us/politics/jeff-sessions-donald-trump-attorney-general.html ;æhttps://newrepublic.com/article/115333/senator-jeff-sessions-threatens-neh-budget-over-islam-humanities,
235,36.803598,-95.937231,74029,OK,Oklahoma,2017,2017-01-07T00:00:00,Hate Speech,"Anti-Islamic and anti-Muslim Facebook posts by Dan Close, a public school history and social studies teacher in Dewey, Oklahoma, become public after screen shots of his account are anonymously released to the media. One post appears to condone killing Muslims.",bias-related incident (targeting individual or specific group),male and female,http://www.tulsaworld.com/news/religion/oklahoma-cair-calls-for-discipline-of-dewey-teacher-who-allegedly/article_8da3299b-e696-53cf-a850-6c39c7adee77.html,
236,30.412928,-97.932129,78734,TX,Texas,2017,2017-01-07T00:00:00,Vandalism,"A partially-constructed mosque on Lake Travis, Texas, burns to the ground under suspicious circumstances. Community leaders declined to speculate about possible causes, but did note that there were not gas or electric hookups at the site.",crimes against property,male and female,http://www.statesman.com/news/local/fire-destroys-partially-constructed-islamic-center-lake-travis/ZEQB7KEUIKGK0VSdaPxDgO/,
237,38.55914,-121.423473,95819,CA,California,2016,2016-01-27T00:00:00,Hate Speech,A sign-up sheetæfor a Muslim student association at Sacramento State University is defaced with anti-Islamic messages.,bias-related incident (targeting individual or specific group),male and female,http://www.sacbee.com/news/local/crime/article56939728.html,
238,33.998623,-81.032356,29201,SC,South Carolina,2016,2016-01-21T00:00:00,Legislative Discrimination,"The South Carolina House of Representatives approves a bill banning the use of foreign law in defense motions in state courts.æAs in other similar measures across the country, the target of the bill is shari'a.æThe bill's sponsor, Republican Chip Limehouse, acknowledges that there have been no references to shari'a in any court proceeding in South Carolina.",legislation (targeting community),male and female,http://www.postandcourier.com/politics/house-advances-bill-forbidding-sharia-law-as-defense-in-state/article_a6bab9cd-fe19-5c7b-b73c-1ae9d8a77ea7.html,
239,33.999184,-81.034234,29201,SC,South Carolina,2016,2016-03-23T00:00:00,Legislative Discrimination,"The South Carolina Senate approves a bill to track refugees resettled in South Carolina. The bill proposes a refugee registry to be monitored by state law enforcement, with organizations involved in resettlement programs assuming liability for any criminal acts perpetrated by refugees resettled under their auspices. Sponsors of the bill, the first of its kind in the country, note the presumed insufficiency of federal refugee vetting processes as well as the threat that Muslim refugees pose to public safety.",legislation (targeting community),male and female,http://www.thestate.com/news/politics-government/state-politics/article69802347.html,
240,42.560383,-83.373334,48323,MI,Michigan,2016,2016-01-26T00:00:00,Hate Speech,"A Muslim resident is booed when speaking and called a murderer and terrorist at a public meeting to debate the repeal of a resolution designating West Bloomfield Township welcoming of immigrants. Residents express concern the designation will attract refugees from the Middle East. The city, a wealthy suburb of Detroit, has a substantial immigrant population from the former Soviety Union.",bias-related incident (targeting individual or specific group),female,http://michiganradio.org/post/west-bloomfield-township-showed-its-ugly-side-recent-meeting#stream/0,
241,45.553367,-94.161973,56301,MN,Minnesota,2016,2016-01-26T00:00:00,Political Speech,"State SenatoræDavid Brown confirms that he will speak at an event calledæShariah 101 hosted byæJeffrey Bauman, an anti-Muslim activist. Brown describes the event as an opportunity to discuss the anti-shari'a legislation he plans to introduce and sponsor.",public speech (political figures),male and female,http://www.citypages.com/news/jeffrey-baumann-sen-david-brown-warn-against-gasp-sharia-law-in-st-cloud-7991783,
242,39.950082,-75.164101,19107,PA,Pennsylvania,2016,2016-01-16T00:00:00,Violent Incident,"Amine Aouam, a self-described immigrant from Morocco and victim of a violent attack, alleges he was assaulted after he said good evening in Arabic to a group he and a friend were passing on the street.æ",bias-related incident (targeting individual or specific group),male,http://www.metro.us/philadelphia/muslim-says-he-was-beat-in-center-city-attack-for-speaking-arabic/zsJpas---SSPwzymZmBUI/,
243,36.166878,-86.786842,37203,TN,Tennessee,2016,2016-01-20T00:00:00,Legislative Discrimination,Three Tennessee state legislators introduce a bill banning proselytizing in public schools. The legislation grows out of a controversy surrounding middle school history and social studies materials presenting basic information about the history of Islam and Muslim communities.,legislation (targeting community),male and female,http://www.tennessean.com/story/news/education/2016/01/20/bill-seeks-prevent-religious-indoctrination-schools/79056296/,
244,36.167909,-86.783924,37219,TN,Tennessee,2016,2016-03-14T00:00:00,Legislative Discrimination,The Tennessee Senate approves a bill banning proselytizing in public schools.æThe legislation grows out of a controversy surrounding middle school history and social studies materials presenting basic information about the history of Islam and Muslim communities.,legislation (targeting community),male and female,http://www.timesfreepress.com/news/politics/state/story/2016/mar/14/tn-senate-sends-bill-banning-indoctrination-when-teaching-about-religion/355226/,
245,36.166134,-86.783549,37203,TN,Tennessee,2016,2016-03-29T00:00:00,Legislative Discrimination,Tennessee Governor BillæHaslam signsæa billæbanning proselytizing in public schools.æThe legislation grows out of a controversy surrounding middle school history and social studies materials presenting basic information about the history of Islam and Muslim communities.,legislation (targeting community),male and female,http://www.timesnews.net/Education/2016/09/10/Lawmaker-explains-law-on-teaching-of-religion-in-public-schools,
246,45.399233,-92.822456,55012,MN,Minnesota,2016,2016-12-21T00:00:00,Anti-Cemetery Campaign,"The Chisago County, Minnesota, Board of Commissioners cedes to public pressure and goes against the earlier recommendation ofæthe county's planning commission, denyingæthe Islamic Community of Bosniaks' proposal to build a small cemetery in Lake Chisago Township.æ",public campaigns (targeting community),male and female,http://www.citypages.com/news/fear-of-muslims-prompts-chisago-county-to-reject-bosnian-cemetery/409916235,
247,44.601957,-93.117199,55024,MN,Minnesota,2016,2016-01-29T00:00:00,Anti-Cemetery Campaign,"A Dakota County district judge compels Castle RockæTownship (Minnesota) to offer a conditional use permit for a cemetery to the Maghfirah Cemetery Association. The Township rejected the original cemetery proposal in August 2014, citing a shifting litanyæof reasons for its decision.æAfter rejecting the proposal, Castle Rock Township changed zoning ordinances to forbid cemeteries in the area under question.",public campaigns (targeting community),male and female,https://www.mprnews.org/story/2016/02/01/dakota-county-ruling-islamic-cemetery-muslim-religious-discrimination,
248,44.938982,-123.033056,97301,OR,Oregon,2017,2017-01-10T00:00:00,Legislative Discrimination,"Oregon state Senator Brian Boquist submits Senate bill 479, which proposes to ban shari'a from judicial proceedings in the state. The bill differs from some other similar efforts across the country in that it singles out shari'a specifically, rather than the more common general concept of foreign law. Boquist submitted an identical bill in 2015.",legislation (targeting community),male and female,http://www.oregonlive.com/politics/index.ssf/2017/01/oregon_senator_introduces_legi.html,
249,45.681929,-111.057347,59715,MT,Montana,2017,2017-01-09T00:00:00,Harassment,"A lone, armed and masked protesteræcarrying an American flag appears for the day in front of the Islamic Center of Boseman (Montana). The protester put his shotgun away in response to police request, but he remained in place for the remainder of the day. When journalists asked the man why he was protesting he named the threat of Islam and Muslims.",public campaigns (targeting community),male and female,http://www.bozemandailychronicle.com/news/crime/armed-masked-man-detained-while-protesting-in-front-of-bozeman/article_f598a364-906e-540c-aa23-30e08e16d9cf.html,
250,38.393692,-82.399263,25701,WV,West Virginia,2017,2017-01-09T00:00:00,Education Discrimination,"Mary Durnstein, a social studies teacher at Huntington High School in Huntington, West Virginia, is suspended for a pattern of racist, anti-Muslim, and anti-Islamic social media posts. Students brought the posts to the attention of school officials, and the districtæreleased a statement saying that it expects educators to comport themselves on social media as they would in the classroom.",bias-related incident (targeting individual or specific group),male and female,http://www.herald-dispatch.com/_recent_news/huntington-high-teacher-suspended-over-racially-charged-tweets/article_521e364c-d6b2-11e6-902e-d34378e0e25e.html,
251,40.663045,-74.112675,7002,NJ,New Jersey,2016,2016-01-14T00:00:00,Public Campaign,"Residents in Bayonne, New Jersey, protest a proposed mosque and Muslim community center.æOpponents of the project claim to be opposing the new center on zoning grounds, but materials promoting the opposition are sprinkled with references to 9/11, terrorism, and anti-Muslim sentiment. The organization seeking to build the new center has been in Bayonne foræover 15 years.",public speech (political figures),male and female,http://www.nj.com/hudson/index.ssf/2016/01/bayonne_residents_against_planned_islamic_center_t.html,
252,41.291262,-96.02584,68134,NE,Nebraska,2016,2016-01-12T00:00:00,Vandalism,"Two men vandalizeætheæOmaha Islamic Center, wrapping bacon around door handles and throwing rocks at the building. The Center has been a target of vandalism multiple times over the past months.",crimes against property,male and female,http://journalstar.com/news/state-and-regional/nebraska/fbi-asked-to-probe-omaha-mosque-vandalism-as-hate-crime/article_6c18589a-bc87-5a2f-8b42-810b4f93fcf5.html,
253,41.590925,-93.618493,50309,IA,Iowa,2016,2016-01-11T00:00:00,Public Campaign,"The white nationalist American Freedom Party sponsors robocalls throughout Iowa urging voters to support Donald Trump, listing among other reasons his opposition to Muslim immigrants.",public campaigns (targeting community),male and female,http://www.cnn.com/2016/01/11/politics/white-nationalist-robocall-campaign/,
254,28.604879,-80.807351,32780,FL,Florida,2016,2016-01-02T00:00:00,Vandalism,"An unknown suspect vandalizes the Islamic Center of Central Florida (Masjid al-Mumin).æThe incident left shattered windows, brokenælights and security cameras, andæbacon scattered around the front door.",crimes against property,male and female,http://www.orlandosentinel.com/news/breaking-news/os-titusville-mosque-vandalized-20160103-story.html,
255,38.888377,-77.009847,20515,DC,District of Columbia,2017,2017-01-11T00:00:00,Legislative Discrimination,"Senator Ted Cruz and Representative Mario Diaz-Balart introduce legislation designating the Muslim Brotherhood as a terrorist organization. Were the bill to become law, the designation would have far-reaching consequences for American Muslims and American Muslim organizations. Anti-Muslim activists use the Muslim Brotherhood name to refer to a wide range of organizations, including those that have spun off from the organization because of its official disavowal of violence. Applying the designation to the Muslim Brotherhood, which would be the first time the United States took the step against an organization that has never directly attacked the United States or its vital interests, would allow the United States government to shut down American Muslim organizations with even tenuous ties to the Muslim Brotherhood, among the largest Muslim organizations in the world.",legislation (targeting community),male and female,https://www.washingtonpost.com/national/how-an-obscure-policy-effort-could-hurt-american-muslims/2017/01/11/8ce93184-d76e-11e6-b8b2-cb5164beba6b_story.html?utm_term=.2e0e984e06ea,
256,40.756425,-89.658544,61615,IL,Illinois,2017,2017-01-15T00:00:00,Vandalism,"An unknown suspect vandalizesæthe sign of the Islamic Center of Peoria. The graffiti, a series of numbers, is associated with white supremacist thought.",crimes against property,male and female,http://www.pjstar.com/news/20170116/islamic-centers-sign-defaced-allegedly-with-neo-nazi-markings,
257,39.943404,-75.123514,8103,PA,Pennsylvania,2017,2017-01-18T00:00:00,Employment Discrimination,"A state appeals court upholds two Superior Court rulings against Linda Tisby, a corrections offers fired for her decision to wear a headscarfæto work. Camden County officials contended that the headscarf, even a tight-fitting variety worn by Tisby, posed a security risk and violated rules about uniform neutrality.",bias-related incident (targeting individual or specific group),female,http://www.courierpostonline.com/story/news/local/south-jersey/2017/01/18/muslim-hijab-jail-lawsuit/96715720/,
258,38.317569,-85.82159,47150,IN,Indiana,2017,2017-01-17T00:00:00,Education Discrimination,"A controversy in New Albany, Indiana, ensues when parents complain about a worksheet in a middle school social studies class that seeks to teach students about a diversity of views on Islamic law, presenting the thoughts of a fictional young woman in Saudi Arabia. The same worksheet, developed by a national educational materials company, was at the center of controversy in 2011.",public campaigns (targeting community),male and female,http://www.courier-journal.com/story/news/local/indiana/2017/01/17/worksheet-sharia-law-irks-school-parents/96660192/,
259,30.274903,-97.741225,78701,TX,Texas,2017,2017-01-11T00:00:00,Political Speech,"Texas state Representative Kyle Biedermann sends a letter on official stationary toæmosques across Texasæasking congregational leaders to fill out a survey in advance of Texas Muslim Capitol Day. The survey, the results of which Biedermann will share with Texas lawmakers, inquires intoæopinions about shari'a and proposed federal legislation, introduced by Senator Ted Cruz in January 2011, designating the Muslim Brotherhood as a terrorist organization. Although the survey is not official state business, the correspondence suggests that a reply is required.",public speech (political figures),male and female,http://www.dallasnews.com/news/texas-legislature/2017/01/19/state-lawmaker-sends-sharia-law-poll-texas-mosques,
260,41.747883,-74.087119,12561,NY,New York,2017,2017-01-22T00:00:00,Violent Threat,"Following a dispute over a cab fare, Andrew Plachecki draws a weapon andæuses slurs to threatenæthe driver. New York State police apprehended Plachecki andæhe is charged with menacing,ædisplaying a weapon as a hate crime, and reckless endangermentæas a hate crime, all felonies.",crimes against people,male,http://www.dailyfreeman.com/general-news/20170123/suspect-in-new-paltz-hate-crime-case-was-drunk-and-used-vulgarities-in-reference-to-islam-police-say,
261,38.547091,-121.756486,95616,CA,California,2017,2017-01-23T00:00:00,Vandalism,"An unknown suspect vandalizes the Islamic Center of Davis in Davis, California, breaking multiple windows and wrapping bacon around the door handles.",crimes against property,male and female,http://www.latimes.com/local/lanow/la-me-ln-hate-crime-mosque-davis-20170123-story.html,
262,47.609959,-122.144349,98007,WA,Washington,2017,2017-01-14T00:00:00,Vandalism,"An unnamed suspect is charged with second-degree arson for allegedly setting a fire that destroyed the Islamic Center of Eastside in Bellevue, Washington. Authorities believe there is no evidence of a hate crime, though members of the community express wonder about what role a general environment of anti-Muslim sentiment has in such situations.",crimes against property,male and female,http://www.seattletimes.com/seattle-news/crime/bellevue-mosque-damaged-in-suspected-arson-fire/,
263,47.610543,-122.143944,98007,WA,Washington,2017,2017-01-06T00:00:00,Violent Threat,"Kamal Samater, a self-identified Muslim, threatens to assassinate members of the Islamic Center of Eastside community.æDuring the incident, Samater is alleged to have said that Muslims have no place in America. Authorities arrested Samater and charged him with felony harassment and malicious harassment, a hate crime. ",crimes against people,male and female,http://www.seattletimes.com/seattle-news/crime/man-charged-with-hate-crime-for-allegedly-threatening-to-kill-members-of-bellevue-mosque/,
264,46.585899,-112.017202,59601,MT,Montana,2017,2017-01-24T00:00:00,Legislative Discrimination,"Montana State Senator Keith Regier introduces Senate Bill 97, which seeks to ban the application of foreign law in state courts. As in similar legislative efforts across the country, the bill does not mention Islam or shari'a specifically, but hearings over the bill in the Senate Judiciary Committee focus almost exclusively on these subjects.",legislation (targeting community),male and female,http://billingsgazette.com/news/government-and-politics/bill-would-prohibit-state-courts-from-applying-islamic-law/article_585b57a4-655d-5209-b9b3-98d7be0ad156.html,
265,30.277099,-97.740834,78701,TX,Texas,2017,2017-01-26T00:00:00,Public Campaign,Texas state Representative Kyle Biedermann hostsæDefending Against Radical Islamic Terrorism In Texas at the state capitol. Speakers include current and former elected officials from across Texas who claim that shari'a is a threat to the United States and that the presence of mosques in communities promotes radicalization.,public speech (political figures),male and female,https://www.texastribune.org/2017/01/26/muslim-leaders-say-texas-lawmaker-betrayed-discrim/,
266,40.615516,-73.791218,11691,NY,New York,2017,2017-01-25T00:00:00,Assault,"Robin Rodes, traveling through John F. Kennedy airport in New York City, verbally and physically assaults Rabeeya Khan, a Delta Airlines employee. Among other things, Rodes tells Khan that President Trump will get rid of all Muslims. Authorities arrested Rodes and charged him with assault,æunlawful imprisonment, andæmenacing and harassment as hate crimes.æ",crimes against people,female,http://www.nydailynews.com/new-york/queens/trump-loving-passenger-cuffed-harassing-muslim-delta-worker-article-1.2956912,
267,39.35509,-84.28682,45040,OH,Ohio,2017,2017-01-22T00:00:00,Harassment,"Residents of a Mason, Ohio, neighborhood report finding circulars accusing Rawd Saleh, a resident of the area, of ties to terrorism.æThe claim refers to a case involving her father dating back over a decade in which he and others were charged with funding a charity with potential links to terrorist activity. The charges were dropped.",public campaigns (targeting community),female,http://www.cincinnati.com/story/news/local/mason/2017/01/26/neighbors-flyer-falsely-accuses-mason-woman-being-terrorist/97082884/,
